Samples Information of Marktets,,,,
Sampling Date,Sampling Location,Numbers of Samples,Numbers of postive,Positive rate
2016.1,Tianhe District,13.0,9.0,0.6923076923076923
,Baiyun District,19.0,14.0,0.7368421052631579
,Haizhu District,16.0,10.0,0.625
,Yuexiu District,11.0,9.0,0.8181818181818182
,Liwan District,10.0,8.0,0.8
,"Nanshan District,Shenzhen",12.0,8.0,0.6666666666666666
,"Futian District,Shenzhen",4.0,3.0,0.75
2016.11,Tianhe District,10.0,7.0,0.7
2017.5,Tianhe District,7.0,0.0,0.0
,Haizhu District,9.0,0.0,0.0
,Yuexiu District,10.0,3.0,0.3
,Liwan District,10.0,2.0,0.2
2017.7,Tianhe District,10.0,2.0,0.2
,Haizhu District,10.0,2.0,0.2
,Yuexiu District,10.0,6.0,0.6
,Liwan District,10.0,3.0,0.3
2017.8,Tianhe District,10.0,5.0,0.5
,Haizhu District,10.0,4.0,0.4
,Yuexiu District,10.0,6.0,0.6
,Liwan District,10.0,6.0,0.6
2017.9,Tianhe District,20.0,10.0,0.5
,Haizhu District,20.0,4.0,0.2
,Yuexiu District,20.0,13.0,0.65
,Liwan District,20.0,5.0,0.25
2017.1,Tianhe District,20.0,12.0,0.6
,Haizhu District,20.0,8.0,0.4
,Yuexiu District,20.0,6.0,0.3
,Liwan District,20.0,1.0,0.05
2017.11,Tianhe District,20.0,12.0,0.6
,Haizhu District,20.0,6.0,0.3
,Yuexiu District,20.0,4.0,0.2
,Liwan District,20.0,1.0,0.05
2018.4,Tianhe District,30.0,4.0,0.13333333333333333
,Haizhu District,30.0,5.0,0.16666666666666666
,Yuexiu District,30.0,4.0,0.13333333333333333
,Liwan District,30.0,4.0,0.13333333333333333
2018.5,Tianhe District,15.0,9.0,0.6
,Haizhu District,15.0,9.0,0.6
,Yuexiu District,15.0,4.0,0.26666666666666666
,Liwan District,15.0,9.0,0.6
2018.6,Tianhe District,15.0,9.0,0.6
,Haizhu District,15.0,9.0,0.6
,Yuexiu District,15.0,8.0,0.5333333333333333
,Liwan District,15.0,12.0,0.8
2018.8,Tianhe District,25.0,16.0,0.64
,Haizhu District,25.0,15.0,0.6
,Yuexiu District,25.0,13.0,0.52
,Liwan District,25.0,18.0,0.72
2018.9,Tianhe District,15.0,10.0,0.6666666666666666
,Haizhu District,15.0,10.0,0.6666666666666666
,Yuexiu District,15.0,7.0,0.4666666666666667
,Liwan District,15.0,13.0,0.8666666666666667
2019.4,Tianhe District,20.0,8.0,0.4
,Haizhu District,20.0,3.0,0.15
,Yuexiu District,20.0,4.0,0.2
,Liwan District,20.0,5.0,0.25
